name,team,price,own_pct,injury,injury_text
Kalani White,MEL,99100,14.0999,Injury,Glandular fever. Expected recovery time is to be confirmed.
Adam Treloar,WBD,311700,7.93933,Injury,Calf tightness. Expected recovery time is to be confirmed.
Josh Smillie,RIC,119900,6.43851,Injury,Quad. Expected recovery time is to be confirmed.
Samuel Cumming,RIC,176500,5.60188,Injury,Shoulder. Expected recovery time is to be confirmed.
Matt Rowell,GCS,641400,1.94983,Injury,Finger. Expected to be available for round 4.
Ryley Sanders,WBD,381100,1.21735,Injury,Concussion. Expected recovery time is to be confirmed.
Keighton Matofai-Forbes,GEE,99100,1.20011,Injury,Knee. Expected recovery time is to be confirmed.
Bailey Dale,WBD,554800,1.16769,Injury,Knee soreness. Expected recovery time is to be confirmed.
Cillian Bourke,ESS,99100,0.812487,Injury,Hamstring. Expected recovery time is to be confirmed.
Brent Daniels,GWS,300300,0.793175,Injury,Hamstring. Expected to be available for round 4 - 5.
Mitch Georgiades,PTA,394800,0.763517,Injury,Hamstring. Expected recovery time is to be confirmed.
Rhys Stanley,GEE,353300,0.753861,Injury,TBA. Expected recovery time is to be confirmed.
Brandon Starcevich,WCE,271100,0.594536,Injury,Calf. Expected recovery time is to be confirmed.
Cam Mackenzie,HAW,363000,0.531772,Injury,Concussion. Expected recovery time is to be confirmed.
Isaac Quaynor,COL,369600,0.475905,Injury,Hamstring. Expected recovery time is to be confirmed.
Jason Horne-Francis,PTA,511200,0.431763,Injury,Foot. Expected recovery time is to be confirmed.
Callum Wilkie,STK,500400,0.41521,Injury,Corked calf. Expected recovery time is to be confirmed.
Tim Kelly,WCE,401500,0.404174,Injury,Hamstring. Expected recovery time is to be confirmed.
Reuben Ginbey,WCE,383700,0.393828,Injury,Toe. Expected recovery time is to be confirmed.
Bailey J. Williams,WCE,282100,0.362791,Injury,Groin. Expected recovery time is to be confirmed.
Sam Banks,RIC,438300,0.360722,Injury,Foot. Expected recovery time is to be confirmed.
Cody Weightman,WBD,226700,0.344169,Injury,Knee. Expected recovery time is to be confirmed.
Sam Allen,WCE,113500,0.330374,Injury,Knee. Expected recovery time is to be confirmed.
Noah Balta,RIC,338400,0.321408,Injury,Hamstring. Expected recovery time is to be confirmed.
Archie Perkins,ESS,293500,0.298647,Injury,Groin. Expected recovery time is to be confirmed.
Taj Hotton,RIC,267900,0.286233,Injury,Hip. Expected to be available for late-season.
Toby Bedford,GWS,327600,0.262092,Injury,Hamstring. Expected to be available for round 4 - 5.
Nic Martin,ESS,529000,0.245539,Injury,Knee. Out for season.
Jack Silvagni,STK,416300,0.21933,Injury,Concussion. Expected recovery time is to be confirmed.
Tom Green,GWS,599900,0.207605,Injury,Knee. Out for season.
Max King,SYD,113500,0.202087,Injury,Back. Expected to be available for late-season.
Max King,SYD,113500,0.202087,Injury,Back. Expected to be available for late-season.
Leek Aleer,GWS,277300,0.200018,Injury,Groin. Expected recovery time is to be confirmed.
Ned Bowman,SYD,119900,0.188293,Injury,Hamstring. Expected recovery time is to be confirmed.
Sam Taylor,GWS,446300,0.187603,Injury,Hamstring. Expected recovery time is to be confirmed.
Tom Gross,WCE,196200,0.187603,Injury,Hamstring. Expected recovery time is to be confirmed.
Andy Moniz-Wakefield,MEL,145200,0.186224,Injury,Knee. Expected recovery time is to be confirmed.
Jackson Archer,NTH,150100,0.181396,Injury,Knee. Out for season.
Toby McMullin,GWS,231700,0.17174,Injury,Hamstring. Expected recovery time is to be confirmed.
Will Day,HAW,482200,0.17105,Injury,Dislocated shoulder. Expected to be available for round 14.
Brody Mihocek,MEL,360100,0.151048,Injury,Concussion. Expected recovery time is to be confirmed.
Riley Hardeman,NTH,296400,0.151048,Injury,Ankle. Expected recovery time is to be confirmed.
Daniel Curtin,ADE,392200,0.150358,Injury,Dislocated knee. Expected to be available for round 7 onwards.
Jordan Ridley,ESS,418800,0.150358,Injury,Hamstring. Expected recovery time is to be confirmed.
Taylor Adams,SYD,185800,0.127598,Injury,Achilles. Expected recovery time is to be confirmed.
Blake Thredgold,NTH,113500,0.126908,Injury,Foot. Expected recovery time is to be confirmed.
Sam Powell-Pepper,PTA,375400,0.124149,Injury,Knee. Expected to be available for mid-season.
Brady Hough,WCE,370200,0.117252,Injury,Ankle. Expected recovery time is to be confirmed.
Toby Conway,GEE,301500,0.110355,Injury,Foot. Expected recovery time is to be confirmed.
Jack Graham,WCE,476200,0.108975,Injury,Hamstring. Expected recovery time is to be confirmed.
Harley Barker,GEE,113500,0.106216,Injury,Knee. Expected recovery time is to be confirmed.
Matthew Carroll,CAR,292200,0.0972501,Injury,Hamstring. Expected recovery time is to be confirmed.
Tom Campbell,MEL,119900,0.0972501,Injury,Neck. Expected recovery time is to be confirmed.
Jesse Motlop,CAR,276200,0.0938015,Injury,Knee. Out for season.
Jack Viney,MEL,471400,0.0917324,Injury,Achilles. Expected recovery time is to be confirmed.
Matthew Cottrell,CAR,358800,0.0910426,Injury,Knee. Expected recovery time is to be confirmed.
Liam Duggan,WCE,431100,0.0910426,Injury,Concussion. Expected recovery time is to be confirmed.
Brennan Cox,FRE,321600,0.0903529,Injury,Calf. Expected recovery time is to be confirmed.
Jai Murray,GCS,131500,0.0889735,Injury,Leg. Expected to be available for round 4 - 6.
Charlie Spargo,NTH,230000,0.0869043,Injury,Shoulder. Expected recovery time is to be confirmed.
Tom Cochrane,PTA,147200,0.0848352,Injury,Hamstring. Expected recovery time is to be confirmed.
Mitchell Hinge,ADE,403600,0.0841455,Injury,Back. Expected recovery time is to be confirmed.
Riley Garcia,WBD,333500,0.0793175,Injury,Hamstring. Expected to be available for mid-season.
Darcy Jones,GWS,398500,0.0786277,Injury,Knee. Expected to be available for late-season.
Ivan Soldo,PTA,314900,0.0765586,Injury,Knee. Out for season.
Noah Long,WCE,189400,0.0758689,Injury,Knee. Out for season.
Nick Haynes,CAR,432700,0.0717306,Injury,Ankle. Expected recovery time is to be confirmed.
Josh Kelly,GWS,477400,0.0641437,Injury,Hip. Expected to be available for late-season.
Dion Prestia,RIC,445500,0.063454,Injury,Hamstring. Expected recovery time is to be confirmed.
Adam Cerra,CAR,531200,0.0627642,Injury,Hamstring. Expected recovery time is to be confirmed.
Luker Kentfield,MEL,119900,0.0620745,Injury,Knee. Expected recovery time is to be confirmed.
Eric Hipwood,BRL,302300,0.0613848,Injury,Knee. Expected to be available for mid-season.
Luke Lloyd,BRL,119900,0.0613848,Injury,Ankle. Expected recovery time is to be confirmed.
Beau Addinsall,GCS,127000,0.0600054,Injury,Hamstring. Expected to be available for round 4 - 6.
Harry O'Farrell,CAR,271900,0.0593157,Injury,Knee. Expected recovery time is to be confirmed.
Thomas Matthews,MEL,113500,0.0572465,Injury,Groin. Expected recovery time is to be confirmed.
Jack Hutchinson,WCE,308800,0.0551774,Injury,Ankle. Expected recovery time is to be confirmed.
Jack Payne,BRL,355900,0.0544876,Injury,Knee. Expected recovery time is to be confirmed.
Ryan Byrnes,STK,343800,0.0544876,Injury,Ankle. Expected recovery time is to be confirmed.
Thomas Sims,RIC,211500,0.0537979,Injury,Foot. Expected recovery time is to be confirmed.
Cody Angove,GWS,160200,0.0531082,Injury,Hamstring. Expected recovery time is to be confirmed.
Jake Bowey,MEL,500200,0.0517288,Injury,Foot. Expected recovery time is to be confirmed.
Harry Edwards,WCE,330800,0.0517288,Injury,Concussion. Expected recovery time is to be confirmed.
Judson Clarke,RIC,119900,0.0475905,Injury,Knee. Expected to be available for mid-season.
Shane McAdam,MEL,119900,0.046211,Injury,Achilles. Expected recovery time is to be confirmed.
Tyler Brockman,WCE,286500,0.0448316,Injury,Iliotibial band. Expected to be available for round 4 - 5.
Mark Keane,ADE,419500,0.0434522,Injury,Broken ankle. Expected recovery time is to be confirmed.
Jack Henderson,MEL,186200,0.0427625,Injury,Back. Expected recovery time is to be confirmed.
Elliott Himmelberg,GCS,148200,0.0400036,Injury,Knee. Expected to be available for mid-season.
Aiden Riddle,FRE,119900,0.0393139,Injury,Ankle. Expected recovery time is to be confirmed.
Sam Switkowski,FRE,362600,0.0337961,Injury,Concussion. Expected recovery time is to be confirmed.
Sam Sturt,FRE,143400,0.0324167,Injury,Knee. Expected to be available for round 10 onwards.
Aidan Corr,NTH,340400,0.0255195,Injury,Calf. Expected recovery time is to be confirmed.
