name,team,pos,price,own_pct,prev_avg,sc_proj,custom_avg,adjustment,category,confidence,evidence
Christian Petracca,GCS,MID/FWD,522300,48.3443,96.52,103,100,-3,CLUB_CHANGE,MEDIUM-HIGH,A
George Hewett,CAR,MID,607300,0.442798,112.22,95,97,2,ROLE_CHANGE,MEDIUM,A
Sam Walsh,CAR,MID,543900,16.8594,100.5,96,96,0,INJURY_DISCOUNT,MEDIUM,A
Tom De Koning,STK,RUC,524200,16.3966,96.86,85,100,15.0,CLUB_CHANGE,MEDIUM-HIGH,A
Jack Steele,MEL,MID,510000,6.86958,94.24,92,92,0,CLUB_CHANGE,MEDIUM,B
Brayden Fiorini,ESS,MID,515100,0.763517,95.19,119,92,-27,CLUB_CHANGE,MEDIUM,A
Kysaiah Pickett,MEL,MID/FWD,494900,27.4832,91.45,86,92,6,ROLE_CHANGE,MEDIUM,A
Sam Flanders,STK,FWD,396600,66.5384,73.29,66,107,41.0,CLUB_CHANGE,MEDIUM-HIGH,A
Clayton Oliver,GWS,MID,500300,4.99976,92.45,84,88,4,CLUB_CHANGE,LOW-MEDIUM,B
Dan Houston,COL,DEF,431500,1.58566,79.74,88,85,-3,CLUB_CHANGE,MEDIUM,B
Harvey Langford,MEL,MID,384700,4.43281,71.09,73,82,9,ROLE_CHANGE,MEDIUM,A
Adam Treloar,WBD,MID/FWD,311700,7.93933,72,70,82,12,INJURY_DISCOUNT,MEDIUM,A
Darcy Parish,ESS,MID,334600,45.0151,88.33,81,80,-1,INJURY_DISCOUNT,MEDIUM,B
Josh Treacy,FRE,FWD,423000,0.684889,78.17,82,80,-2,YEAR_BREAKOUT,MEDIUM,B
Kane McAuliffe,RIC,MID,353300,0.815246,81.6,81,78,-3,YEAR_BREAKOUT,MEDIUM,B
Hayden Young,FRE,MID,389000,52.475,71.88,73,75,2,YEAR_BREAKOUT,MEDIUM,B
James Worpel,GEE,MID,403500,0.748343,74.56,71,74,3,CLUB_CHANGE,LOW-MEDIUM,B
Charlie Curnow,SYD,FWD,377300,11.4603,69.72,66,72,6,CLUB_CHANGE,MEDIUM,A
Keidean Coleman,BRL,DEF,233800,39.389,72,58,75,17.0,INJURY_DISCOUNT,MEDIUM,A
Darcy Byrne-Jones,PTA,FWD,365500,0.456593,67.55,73,72,-1,ROLE_CHANGE,MEDIUM,B
Changkuoth Jiath,MEL,DEF,358400,1.98845,66.24,66,68,2,CLUB_CHANGE,LOW-MEDIUM,B
Neil Erasmus,FRE,MID,341300,0.359343,63.07,65,68,3,YEAR_BREAKOUT,MEDIUM,B
Jordan De Goey,COL,MID/FWD,321100,12.2845,59.33,59,65,6,INJURY_DISCOUNT,LOW-MEDIUM,B
Buku Khamis,WBD,DEF/FWD,288000,2.11053,53.21,53,65,12,YEAR_BREAKOUT,LOW-MEDIUM,B
Caleb Windsor,MEL,DEF,283300,22.4648,52.35,55,60,5,ROLE_CHANGE,MEDIUM,A
Tanner Bruhn,GEE,MID,276800,27.9873,0,50,58,8,ROLE_CHANGE,LOW-MEDIUM,B
Elijah Tsatas,ESS,MID,223400,1.03733,51.6,61,58,-3,YEAR_BREAKOUT,LOW-MEDIUM,B
Oscar Allen,BRL,FWD,317000,0.563499,58.58,51,55,4,CLUB_CHANGE,LOW-MEDIUM,B
Bruce Reville,BRL,MID,242400,0.571775,44.8,48,55,7,YEAR_BREAKOUT,MEDIUM,A
Kyle Langford,ESS,FWD,283200,0.429004,52.33,52,55,3,YEAR_BREAKOUT,LOW-MEDIUM,B
Jamarra Ugle-Hagan,GCS,FWD,214100,14.7689,0,33,50,17,CLUB_CHANGE,LOW,B
